"","total_cup_points","species","owner","country_of_origin","farm_name","lot_number","mill","ico_number","company","altitude","region","producer","number_of_bags","bag_weight","in_country_partner","harvest_year","grading_date","owner_1","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","moisture","category_one_defects","quakers","color","category_two_defects","expiration","certification_body","certification_address","certification_contact","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"318",83.67,"Arabica","comercial internacional exportadora, s.a.","Nicaragua","santa matilde","606118 / K1730101","dry mill","017/001/1412","comercial internacional exportadora, s.a.","1250","jinotega","RONALDO LACAYO CARDENAL",275,"69 kg","Instituto Hondureño del Café","2016","May 11th, 2017","COMERCIAL INTERNACIONAL EXPORTADORA, S.A.","Caturra","Washed / Wet",7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,0.1,0,0,"Green",3,"May 11th, 2018","Instituto Hondureño del Café","b4660a57e9f8cc613ae5b8f02bfce8634c763ab4","7f521ca403540f81ec99daec7da19c2788393880","m",1250,1250,1250
"319",83.67,"Arabica","ipanema coffees","Brazil","capoeirinha","008/16A","dry mill","002/1660/0106","ipanema coffees","934","south of minas","Ipanema Agricola",320,"60 kg","Brazil Specialty Coffee Association","2016","August 16th, 2016","Ipanema Coffees","Bourbon","Natural / Dry",7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,0.11,0,2,"Green",3,"August 16th, 2017","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",934,934,934
"320",83.67,"Arabica","lin, che-hao krude <U+6797><U+54F2><U+8C6A>","Taiwan","tsoustructive garden <U+9112><U+7BC9><U+5712>","Tsoustructive 2015 Caturra","tsoustructive garden <U+9112><U+7BC9><U+5712>","Taiwan","taiwan coffee laboratory","1200","leye, alishan township, chiayi county","FANG,ZHENG-LUN <U+65B9><U+653F><U+502B>",20,"50 kg","Specialty Coffee Association","2015","May 18th, 2016","Lin, Che-Hao Krude <U+6797><U+54F2><U+8C6A>","Caturra","Natural / Dry",7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,0.1,0,0,"Bluish-Green",0,"May 18th, 2017","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1200,1200,1200
"321",83.67,"Arabica","ceca, s.a.","Costa Rica",NA,"8062-1","cafex","5-025-0109","ceca,s.a.","1350","west valley",NA,275,"69 kg","Specialty Coffee Association of Costa Rica",NA,"March 14th, 2016","CECA, S.A.",NA,NA,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,0.11,0,0,"Blue-Green",1,"March 14th, 2017","Specialty Coffee Association of Costa Rica","8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1","5eb2b7129d9714c43825e44dc3bca9423de209e9","m",1350,1350,1350
"322",83.67,"Arabica","doi tung development project","Thailand",NA,NA,NA,"-","doi tung development project","800++","thailand","Doi Tung Development Project",1,"1 kg","Specialty Coffee Association","2014","June 9th, 2015","Doi Tung Development Project",NA,"Washed / Wet",7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,0.12,0,0,"Bluish-Green",0,"June 8th, 2016","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",800,800,800
"323",83.67,"Arabica","rob stephen","Colombia",NA,NA,NA,"3-259-1444","olam specialty coffee","1550-1700m","huila","Agrotello Coop",100,"2 lbs","Specialty Coffee Association","2014/2015","November 21st, 2014","Rob Stephen","Caturra","Washed / Wet",7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,0.11,0,0,NA,4,"November 21st, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1550,1700,1625
"324",83.67,"Arabica","juan luis alvarado romero","Guatemala","finca las cuevitas",NA,"beneficio exportacafe agua santa","11-52-380","exportcafe","4451 metros","huehuetenango","FRANCISCO LUIS MARTINEZ LOPEZ",275,"69 kg","Asociacion Nacional Del Café","2014","February 27th, 2014","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",8,7.5,7.33,8,8,8,9.33,10,10,7.5,0.1,0,0,"Green",0,"February 27th, 2015","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1356.6648,1356.6648,1356.6648
"325",83.67,"Arabica","exportadora de cafe condor s.a","Colombia","various",NA,"trilladora boananza","3-68-0021","exportadora de cafe condor s.a","1750 msnm","huila supremo",NA,250,"70 kg","Almacafé","2013","October 29th, 2013","Exportadora de Cafe Condor S.A","Caturra","Washed / Wet",7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,0,0,0,"Green",3,"October 29th, 2014","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1750,1750,1750
"326",83.67,"Arabica","racafe & cia s.c.a","Colombia",NA,NA,NA,"3-37-2865","racafe & cia s.c.a","1800 - 2000","huila","Huila",250,"70 kg","Almacafé","2013","August 16th, 2013","Racafe & Cia S.C.A","Caturra","Washed / Wet",7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,0,0,0,"Green",1,"August 16th, 2014","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1800,2000,1900
"327",83.67,"Arabica","juan luis alvarado romero","Guatemala","la union monte verde",NA,"beneficio ixchel","11/23/0634","unex guatemala, s.a.","4300","oriente","AGRICOLA MONTE VERDE, S.A.",250,"69 kg","Asociacion Nacional Del Café","2013","May 30th, 2013","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,0.12,1,0,"Green",3,"May 30th, 2014","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1310.64,1310.64,1310.64
"328",83.67,"Arabica","juan luis alvarado romero","Guatemala","el sacramento",NA,"beneficio ixchel","11/23/0420","unex guatemala, s.a.","4300","oriente","LUIS RODRIGUEZ",250,"69 kg","Asociacion Nacional Del Café","2013","February 26th, 2013","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,0.11,0,0,"Green",2,"February 26th, 2014","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1310.64,1310.64,1310.64
"329",83.67,"Arabica","exportadora de cafe condor s.a","Colombia",NA,NA,"trilladora boananza","3-68-0045","exportadora de cafe condor s.a","1750 msnm","huila",NA,250,"70 kg","Almacafé","2012","November 22nd, 2012","Exportadora de Cafe Condor S.A","Caturra","Washed / Wet",7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,0.11,0,0,"Green",1,"November 22nd, 2013","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1750,1750,1750
"330",83.67,"Arabica","the coffee source inc.","Guatemala","finca quequesquez",NA,"finca quequesquez","11-183-22","the coffee source inc.","1450","oriente","Finca Quequesquez",250,"1 kg","Specialty Coffee Association","2012","August 23rd, 2012","The Coffee Source Inc.","Caturra","Natural / Dry",8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,0.11,0,0,"Green",1,"August 23rd, 2013","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1450,1450,1450
"331",83.67,"Arabica","juan luis alvarado romero","Guatemala","agropecuaria quiagral",NA,"beneficio ixchel","11/23/0933","unex guatemala, s.a.","4300","oriente","AGROPECUARIA QUIAGRAL",250,"1 kg","Asociacion Nacional Del Café","2012","July 9th, 2012","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,0.11,0,0,"Green",13,"July 9th, 2013","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1310.64,1310.64,1310.64
"332",83.67,"Arabica","juan luis ortega carballo","Mexico","finca apoxtla",NA,"xicotepec de juarez","1207033381",NA,"1100","xicotepec de juarez","JUAN LUIS ORTEGA CARBALLO",48,"1 kg","AMECAFE","2012","July 2nd, 2012","JUAN LUIS ORTEGA CARBALLO","Typica","Washed / Wet",7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,0.12,4,0,"Green",11,"July 2nd, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1100,1100,1100
"333",83.67,"Arabica","ekai international company ltd.","Indonesia","ijen highland, east java",NA,"pt. perkebunan nusantara xii",NA,"scai","1200-1600masl","east java","PT. Perkebunan Nusantara XII",10,"60 kg","Specialty Coffee Association of Indonesia","2012","May 23rd, 2012","EKAI International Company Ltd.","Typica","Washed / Wet",8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,0.12,0,0,"Green",0,"May 23rd, 2013","Specialty Coffee Association of Indonesia","99fa73db21b7acd9c9ceb9dd84e409d2077d55c4","36910838db193ebdd61fa1427bac74622114c49a","m",1200,1600,1400
"334",83.67,"Arabica","juan luis alvarado romero","Guatemala","finca medina",NA,"beneficio 2000","11/11711/08","siembras vision, s.a.","5000","sacatepequez, guatemala","SIEMBRAS VISION, S.A",250,"69 kg","Asociacion Nacional Del Café","2012","April 30th, 2012","Juan Luis Alvarado Romero","Caturra","Washed / Wet",7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,0.1,0,0,"Green",0,"April 30th, 2013","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1524,1524,1524
"335",83.67,"Arabica","kona pacific farmers cooperative","United States (Hawaii)",NA,NA,NA,"HDOA 210345",NA,NA,NA,NA,3,"100 lbs","Specialty Coffee Association",NA,"April 21st, 2011","Kona Pacific Farmers Cooperative",NA,NA,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,0,0,0,NA,0,"April 20th, 2012","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","ft",NA,NA,NA
"336",83.58,"Arabica","ipanema coffees","Brazil","fazenda capoeirnha","020/17","dry mill","002/1660/0080","ipanema coffees","890","south of minas","Ipanema Agricola S.A",320,"60 kg","Brazil Specialty Coffee Association","2017 / 2018","October 20th, 2017","Ipanema Coffees","Bourbon","Natural / Dry",7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,0.11,0,0,"Green",5,"October 20th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",890,890,890
"337",83.58,"Arabica","juan luis alvarado romero","Guatemala","finca santa clara","11/52/1170","beneficio exportacafe agua santa","11/52/1170","exportcafe","3702","huehuetenango","JUAN RAMIREZ MORALES",275,"69 kg","Asociacion Nacional Del Café","2016","July 5th, 2016","Juan Luis Alvarado Romero","Caturra","Washed / Wet",7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,0.11,0,1,"Green",0,"July 5th, 2017","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1128.3696,1128.3696,1128.3696
"338",83.58,"Arabica","racafe & cia s.c.a","Colombia",NA,"3-37-2548","bachue","3-37-2548","racafe & cia s.c.a",NA,"huila","La Plata",275,"70 kg","Almacafé","2016","April 15th, 2016","Racafe & Cia S.C.A","Caturra","Washed / Wet",7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,0.11,0,0,"Green",4,"April 15th, 2017","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",NA,NA,NA
"339",83.58,"Arabica","yunnan coffee exchange","China","menglian mang pan professional cooperative","YNC-16029","menglian mang pan professional cooperative",NA,"yunnan coffee exchange","1100","yunnan","Menglian Mang Pan Professional Cooperative",3,"60 kg","Yunnan Coffee Exchange","2015","April 6th, 2016","Yunnan Coffee Exchange","Catimor","Washed / Wet",7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,0.1,0,1,"Green",4,"April 6th, 2017","Yunnan Coffee Exchange","683fa6014608fc10ff681b0435b0b2dbe6df988f","f6d87a6c04653c569d4911a66f89d5e30ce83b93","m",1100,1100,1100
"340",83.58,"Arabica","racafe & cia s.c.a","Colombia",NA,NA,NA,"3-37-0636","racafe & cia s.c.a","de 1600 a 1950 msnm","huila","La Plata",275,"70 kg","Almacafé","2015","November 19th, 2015","Racafe & Cia S.C.A","Caturra","Washed / Wet",7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,0.12,0,0,"Green",3,"November 18th, 2016","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1600,1950,1775
"341",83.58,"Arabica","andreas kussmaul","Mexico","exportadora café california",NA,"exportadora café california","016-2028-042","exportadora café california","1200","chiapas, jaltenango","Exportadora Café California",275,"2 kg","Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.","2014","May 12th, 2015","ANDREAS KUSSMAUL","Caturra","Washed / Wet",7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,0.12,1,0,"Green",13,"May 11th, 2016","Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.","3441698871fa609a44ce947e8944ee42eb4428b9","9894541e8065ee718165a1d432389d114defc38c","m",1200,1200,1200
"342",83.58,"Arabica","essencecoffee","Ethiopia","lomi tasha",NA,"worka","100181006","essence coffee","1700-2000m","yirgacheffe","LevelUp",250,"60 kg","Blossom Valley International","2014","March 25th, 2015","EssenceCoffee","Other","Washed / Wet",7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,0,0,0,NA,7,"March 24th, 2016","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",1700,2000,1850
"343",83.58,"Arabica","bulamburi coffee farmers association","Uganda","bulamburi coffee farmers",NA,"bulamburi coffee farmers","0","bulamburi coffee farmers association","1800","eastern","Bulamburi coffee farmers association",100,"60 kg","Uganda Coffee Development Authority","2013","June 27th, 2014","Bulamburi coffee farmers association","SL14","Washed / Wet",7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,0.12,0,0,"Green",5,"June 27th, 2015","Uganda Coffee Development Authority","188fe373b511e21f614564bf86aa4774270d8e04","b7614767a5343729bbde3a2777c60ce836aed928","m",1800,1800,1800
"344",83.58,"Arabica","compañia colombiana agroindustrial s.a","Colombia",NA,NA,"trilladora boananza","14-3-79-1921","ecom cca sa","1600","cundinamarca",NA,250,"70 kg","Almacafé","2014","June 24th, 2014","Compañia Colombiana Agroindustrial S.A","Caturra","Natural / Dry",7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,0,0,0,"Green",0,"June 24th, 2015","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1600,1600,1600
"345",83.58,"Arabica","compañia colombiana agroindustrial s.a","Colombia",NA,NA,"trilladora agricola","14-3-79-0953","ecom cca sa","1550","santander",NA,250,"70 kg","Almacafé","2014","March 13th, 2014","Compañia Colombiana Agroindustrial S.A","Caturra","Washed / Wet",7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,0.12,0,0,"Green",1,"March 13th, 2015","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1550,1550,1550
"346",83.58,"Arabica","compañia colombiana agroindustrial s.a","Colombia",NA,NA,"trilladora agricola","3-79-0828","ecom cca sa","1550","santander",NA,250,"70 kg","Almacafé","2014","March 21st, 2014","Compañia Colombiana Agroindustrial S.A","Caturra","Washed / Wet",7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,0,0,0,NA,0,"March 21st, 2015","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1550,1550,1550
"347",83.58,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","dragon coffee <U+9F8D><U+5496><U+5561>",NA,"dragon coffee <U+9F8D><U+5496><U+5561>",NA,"blossom valley<U+5BB8><U+5DA7><U+570B><U+969B>","1000 m","taichung xinshe <U+53F0><U+4E2D><U+5E02><U+65B0><U+793E><U+5340>","Gu zhi min <U+53E4><U+667A><U+9594>",10,"30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Typica","Other",7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,0.11,0,0,"Green",0,"December 26th, 2014","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",1000,1000,1000
"348",83.58,"Arabica","racafe & cia s.c.a","Colombia",NA,NA,NA,"3-37-1824","c.i.racafe & cia s.c.a","de 1.600 a 1.950 msnm","huila","LA PLATA",275,"70 kg","Almacafé","2012","August 31st, 2012","Racafe & Cia S.C.A","Caturra","Washed / Wet",7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,0.11,0,0,"Green",3,"August 31st, 2013","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1600,1950,1775
"349",83.58,"Arabica","alfredo bojalil","Mexico","ojo de agua",NA,"agroindustrias unidas de mexico","2222","ecomtrading","1000","xalapa","JULIAN ALBERTO URRUTIA MOYA",250,"1 kg","AMECAFE","2012","June 6th, 2012","ALFREDO BOJALIL","Typica","Washed / Wet",7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,0.12,0,0,NA,2,"June 6th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1000,1000,1000
"350",83.58,"Arabica","carcafe ltda ci","Colombia",NA,NA,NA,"3-59-0951","carcafe ltda","2136 msnm","cundinamarca","ORLANDO ORTIZ/WILSON SANCHEZ/GILBERTO ACOSTA",250,"70 kg","Almacafé","2012","April 2nd, 2012","CARCAFE LTDA CI","Caturra","Natural / Dry",7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,0.11,0,0,"Green",4,"April 2nd, 2013","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",2136,2136,2136
"351",83.58,"Arabica","nucoffee","Brazil","fazenda jericó",NA,NA,"002/1251/0181","nucoffee","1100m","south of minas","Alvaro Resende Aguiar",33,"60 kg","NUCOFFEE","2012","January 23rd, 2012","NUCOFFEE","Catuai","Semi-washed / Semi-pulped",7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,0.12,0,0,"Blue-Green",2,"January 22nd, 2013","NUCOFFEE","567f200bcc17a90070cb952647bf88141ad9c80c","aa2ff513ffb9c844462a1fb07c599bce7f3bb53d","m",1100,1100,1100
"352",83.5,"Arabica","carcafe ltda ci","Colombia",NA,"3-59-1695","bogota","3-59-1695","carcafe ltda","1799","cundinamarca","Orlando Moreno / Willson Sanchez",50,"70 kg","Almacafé","2016","February 20th, 2017","CARCAFE LTDA CI","Caturra","Washed / Wet",7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,0,0,0,"Bluish-Green",5,"February 20th, 2018","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1799,1799,1799
"353",83.5,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","<U+5357><U+6295><U+7E23><U+9B5A><U+6C60><U+9109><U+6C34><U+793E><U+6751><U+4E2D><U+6B63><U+8DEF>63-1<U+865F>","2","<U+9ED1><U+5496><U+5561><U+9053><U+5496><U+5561>",NA,"<U+5BB8><U+5DA7><U+570B><U+969B>",NA,NA,"<U+9ED1><U+5496><U+5561><U+9053><U+738B><U+61B2><U+5099>0912326001",1,"10 kg","Blossom Valley International","2016 / 2017","February 13th, 2017","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>",NA,NA,7.58,7.58,7.17,7.17,7,7,10,10,10,10,0.11,0,0,"Blue-Green",0,"February 13th, 2018","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",NA,NA,NA
"354",83.5,"Arabica","ceca, s.a.","Costa Rica",NA,"8038","beneficio montañas del diamante","5-025-0250","ceca,s.a.","1850","tarrazu","Martin Gutierrez",245,"69 kg","Specialty Coffee Association of Costa Rica","2015","June 6th, 2016","CECA, S.A.","Caturra","Washed / Wet",7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,0,0,0,"Blue-Green",0,"June 6th, 2017","Specialty Coffee Association of Costa Rica","8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1","5eb2b7129d9714c43825e44dc3bca9423de209e9","m",1850,1850,1850
"355",83.5,"Arabica","carcafe ltda ci","Colombia",NA,"3-59-1919","neiva","3-59-1919","carcafe ltda","1000","pitalito","Mecias Urbano / Yaniver Alvarez",250,"70 kg","Almacafé","2016","April 7th, 2016","CARCAFE LTDA CI","Caturra","Natural / Dry",7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,0,0,0,"Green",0,"April 7th, 2017","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1000,1000,1000
"356",83.5,"Arabica","juan luis alvarado romero","Guatemala","la esperanza","11/23/0145","beneficio ixchel","11/23/0145","unex guatemala, s.a.","4000","oriente","MARGARITA AVILA DE NUYENS",250,"69 kg","Asociacion Nacional Del Café","2016","March 16th, 2016","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,0.1,0,2,"Bluish-Green",5,"March 16th, 2017","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1219.2,1219.2,1219.2
"357",83.5,"Arabica","racafe & cia s.c.a","Colombia",NA,NA,NA,"3-37-0634","racafe & cia s.c.a","de 1600 a 1950 msnm","huila","La Plata",180,"70 kg","Almacafé","2015","November 19th, 2015","Racafe & Cia S.C.A","Caturra","Washed / Wet",7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,0.12,0,0,"Green",4,"November 18th, 2016","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1600,1950,1775
"358",83.5,"Arabica","damari absalome","Tanzania, United Republic Of","ano family",NA,"arusha","CA007","tawoca","1400m","nkure- meru","Mr & Mrs Damari Absalome",5,"60 kg","Africa Fine Coffee Association","2015","November 16th, 2015","Damari Absalome","Ruiru 11","Washed / Wet",7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,0.13,0,0,"Green",21,"November 15th, 2016","Africa Fine Coffee Association","073285c0d45e2f5539012d969937e529564fa6fe","c4ab13415cdd69376a93780c0166e7b1a10481ea","m",1400,1400,1400
"359",83.5,"Arabica","aulia arif syahri","Indonesia","yusrin",NA,"olam","To be advice","pt. olam indonesia","1500","bener meriah","Yusrin",200,"30 kg","Specialty Coffee Association","2015","September 14th, 2015","Aulia Arif Syahri","Sumatra","Semi-washed / Semi-pulped",7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,0.13,0,0,"Bluish-Green",8,"September 13th, 2016","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1500,1500,1500
"360",83.5,"Arabica","debesa agro industry plc","Ethiopia",NA,NA,NA,"2014/15","debesa agro industry plc","1600 on average","oromia","Debesa",320,"60 kg","METAD Agricultural Development plc","2014","March 31st, 2015","Debesa Agro Industry Plc",NA,"Natural / Dry",7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,0.1,1,0,NA,18,"March 30th, 2016","METAD Agricultural Development plc","309fcf77415a3661ae83e027f7e5f05dad786e44","19fef5a731de2db57d16da10287413f5f99bc2dd","m",1600,1600,1600
"361",83.5,"Arabica","federacion nacional de cafeteros","Colombia",NA,NA,NA,"01-1437","federacion nacional de cafeteros",NA,"huila",NA,275,"2 kg","Almacafé","2014","March 12th, 2015","Federacion Nacional de Cafeteros",NA,"Washed / Wet",7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,0,1,0,NA,0,"March 11th, 2016","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",NA,NA,NA
"362",83.5,"Arabica","exportadora de cafe condor s.a","Colombia",NA,NA,"bonanza - armenia","3-68-0068","exportadora de cafe condor s.a","1850 msnm","huila",NA,275,"70 kg","Almacafé","2014","January 22nd, 2015","Exportadora de Cafe Condor S.A","Caturra","Washed / Wet",8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,0.11,0,0,"Green",0,"January 22nd, 2016","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1850,1850,1850
"363",83.5,"Arabica","the coffee source inc.","Guatemala","several",NA,"ixchel","11-023-0025","the coffee source inc.","1400 mts","atitlan","UNEX",250,"1 kg","Specialty Coffee Association of Costa Rica","2013","December 18th, 2014","The Coffee Source Inc.","Caturra","Washed / Wet",7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,0.1,0,0,"Green",0,"December 18th, 2015","Specialty Coffee Association of Costa Rica","8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1","5eb2b7129d9714c43825e44dc3bca9423de209e9","m",1400,1400,1400
"364",83.5,"Arabica","compañia colombiana agroindustrial s.a","Colombia",NA,NA,"trilladora boananza","3-79-2009","ecom cca sa","1650","cundinamarca",NA,250,"70 kg","Almacafé","2014","August 11th, 2014","Compañia Colombiana Agroindustrial S.A","Caturra","Washed / Wet",7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,0,2,0,NA,0,"August 11th, 2015","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",1650,1650,1650
